Data,Sentiment
. الجو اليوم so nice ما شاء الله,Positive
"يا جماعة ، لا تنسون إنه عندنا meeting بكرة !",Neutral
" والله today كان يوم hectic ، والشغل كان مرره overwhelming.",Negative
".هلا ، how are you doing اليوم ؟",Neutral
I was thinking اروح للسوق ولكن I decided to stay home.,Neutral
: بدأت أشتغل on my new project والموضوع جداً exciting لأنه something I've been passionate about for years,Positive
I can't believe أنك نسيت تجيب الهدية لعيد ميلادي !,Negative
"I'm really hungry , وش رايكم نطلب بيتزا tonight ?",Neutral
I can't believe راح نسافر بكرة Dubai .,Positive
"Today , رايح أزور أهلي because it's been a long time .",Neutral
I can't believe ما رحت السوق yesterday because كنت مشغول with work all day .,Negative
I can't wait to travel بس لازم أخلص شغلي الأول .,Neutral
I can't wait to أزور الرياض لأنه الجو there is amazing in the winter .,Positive
I love visiting الرياض during the winter because الطقس يكون جميل جداً .,Positive
"I’m running late , السيارة ما اشتغلت !",Negative
Today الجو كان حار so I decided to stay indoors واسترخي .,Neutral
I’m so tired الحين وتوني راجع من السفر .,Negative
What's the plan اليوم بعد الجامعة ؟,Neutral
"Yesterday , رحت لمطعم وشفت there was a new menu .",Neutral
Yesterday أنا رحت للسوق and bought some fresh vegetables عشان أعمل dinner for my family .,Neutral
الحين we’re going to the market عشان نشتري some groceries .,Neutral
"I'm feeling tired , بس لازم أخلص الشغل قبل الويكند .",Negative
Last weekend رحنا البحر we had a great time وسوينا شواء with friends .,Positive
Today الجو كان جداً حار in Riyadh !,Negative
Today رح أزور صديقي في الرياض to catch up and have dinner with him .,Neutral
‏الخطة الأسبوع الجاي إن شاء الله we will go hiking in Alula .,Neutral
We went to the mall ومع الأسف كان زحمة !,Negative
المسا اشتريت a new car من الوكالة وعندي plans to go on a road trip بكرة .,Neutral
الويكند الجاي إن شاء الله I'm planning a trip to Dubai .,Neutral
الويكند الجاي بنروح للبحر عشان نعمل some jet skiing .,Neutral
"Wow ، المطعم اليوم كان جداً crowded ، ما قدرنا نحجز طاولة .",Negative
"Yesterday , رحت للسوق to buy some groceries and , you know , كان مرة زحمة !",Negative
Yesterday أنا رحت للسوق with my friends وحنا انبسطنا كثير .,Positive
ابغى أشتري a new car بس الميزانية ما تسمح right now .,Negative
الويكند الجاي بنسافر للخبر with the family .,Neutral
"الجو اليوم is really nice , ومناسب إنك تقضي وقتك with friends .",Positive
"الجو اليوم so nice and cool ، وش رايك نطلع نسوي something fun ؟",Positive
الويكند هذا حروح مع الشباب لل desert عشان نعمل campfire ونشوي .,Neutral
"الجو اليوم was incredibly hot , وأنا كنت ناوي swim لكنه كان مستحيل .",Negative
الويكند هذا نبغى نروح السينما ونشوف the new movie .,Neutral
اليوم after work بنروح المول we can have dinner there .,Neutral
"الجو اليوم حلو , let's go for a walk !",Positive
الحفلة كانت amazing أمس .,Positive
الحفلة كانت amazing والأجواء كانت مرّة حماس !,Positive
اليوم I'm going to الراشد مول .,Neutral
الحفلة كانت amazing والناس كانوا مره friendly .,Positive
اليوم I'm planning نسافر للرياض to visit العائلة .,Neutral
"الحياة في السعودية it's quite interesting , خاصة لما تتعرف على ناس جدد .",Positive
الدراسة في الجامعة ممتعة because I get to meet new people and learn new things .,Positive
الدوام اليوم كان busy والصراحة تعبنا كثير .,Negative
الرحة اللي تجي في القلب when you follow your passion is something لا يوصف .,Positive
الشيء اللي أحب أسويه في الويكند is to relax and watch some movies with my family .,Positive
الكافي الجديد اللي جنب بيتي كثير cozy وريحته amazing .,Positive
الكلاس كان today جداً interesting !,Positive
اليوم I decided to go to the mall with my friends عشان نتسوق ونشوف فيلم جديد .,Neutral
المساء كان لطيف جداً because the weather was perfect for a walk .,Positive
المشروع الجديد it's very challenging بس إن شاء الله ننجح .,Neutral
المشروع الجديد really challenging بس إحنا متحمسين .,Positive
"المشروع جديد وما توقعنا يكون بهذا النجاح ، it's really impressive how fast it's growing .",Positive
اليوم I have a meeting بالليل .,Neutral
المشكلة إنو ال traffic اليوم كان مرة bad .,Negative
المطعم الجديد اللي جربناه أمس كان really amazing !,Positive
اليوم I need to finish some important work قبل ما أروح .,Neutral
المطعم الجديد كان جداً زحمة yesterday .,Negative
المطعم دا مرره زحمة today !,Negative
المكان كان crowded والموسيقى كانت مرة loud .,Negative
المكان كان crowded وبصراحة ما كنت comfortable هناك .,Negative
اليوم I want to try a new restaurant اللي فتح قريب مني .,Neutral
المكان هذا is really beautiful وخاصة في الشتاء .,Positive
اليوم I went to the mall and اشتريت بعض الملابس الجديدة .,Neutral
"المكان هذا مرة crowded ، مافي مكان نوقف السيارة .",Negative
اليوم felt so long بسبب ال meetings الكثيرة .,Negative
اليوم I'm feeling so tired بسبب الشغل الكثير .,Negative
اليوم I went to the mall with my friends وشرينا أغراض جديدة .,Neutral
"اليوم I'm feeling super tired , ما نمت كويس last night .",Negative
اليوم I went to the mall مع أصحابي و we watched a new movie .,Neutral
اليوم I am feeling جداً سعيد to see you .,Positive
اليوم I decided أروح على الكورنيش واستمتع بالجو الجميل .,Positive
اليوم I went to the market with my friends عشان نشتري بعض الأشياء الجديدة .,Neutral
"اليوم I feel like studying , بس عندي كثير مشاغل .",Negative
اليوم I have a lot of meetings وما أعرف كيف بخلص كل شيء .,Negative
اليوم I have a lot of work بس المعنويات ممتازة .,Positive
"اليوم I have so much work to do , ما أدري كيف رح أخلصه كله .",Negative
اليوم I have too many meetings ومشغول مرة .,Neutral
اليوم I went to the السوق and bought some فواكه .,Neutral
اليوم I went to the سوق to buy some fresh خضار and فواكه .,Neutral
اليوم I’m going to the mall بعد الظهر .,Neutral
اليوم I’m planning to go to the mall بس محتار إيش أشتري .,Neutral
اليوم I have too much work وما عندي وقت أرتاح .,Negative
اليوم I visited the new mall والديكور كان ممتاز جداً !,Positive
اليوم I’m feeling a bit tired so ما رح أطلع .,Negative
"اليوم I’m feeling really tired ، بس لازم أشتغل .",Negative
"اليوم I’m feeling super tired , ما أقدر أركز .",Negative
اليوم I’m really tired وما أقدر أروح الدوام .,Negative
اليوم it's really hot برا .,Negative
اليوم meeting كان جداً productive !,Positive
اليوم meeting مع الفريق كان مره productive والحمدلله .,Positive
اليوم seriously كان تعب !,Negative
اليوم the weather was really nice في جدة .,Positive
اليوم meeting حقنا في المكتب الساعة 3 pm .,Neutral
اليوم meeting عندنا جداً important فلازم نكون كلنا on time .,Neutral
اليوم we are going to the market لأنه الجو حلو .,Positive
"اليوم weather was really nice , واحنا قررنا نروح للبحر for a picnic .",Positive
اليوم weather كان مرة حلو في الظهران .,Positive
اليوم weather مرررررة hot !,Negative
اليوم meeting في المكتب مع الفريق الجديد .,Neutral
اليوم my friends رايحين للسينما .,Neutral
اليوم we're going to the mall عشان نشوف the new collection .,Neutral
اليوم we’re going to الكتاب fair .,Neutral
اليوم ال weekend بروح mall وأتسوق مع صديقاتي .,Neutral
"اليوم الجو حار , so we decided to stay indoors .",Negative
"اليوم الجو كان جداً حار , so we decided to stay indoors and watch a movie .",Neutral
"اليوم ال project حقنا كان super challenging بس الحمدلله ، the team managed to finish it on time .",Positive
"اليوم الجو كان مرة حار ، so I decided to stay home and relax .",Neutral
اليوم الاجتماع كان amazing وصراحة استفدنا كثير !,Positive
"اليوم الجو مرة حار , so I'm just going to stay indoors .",Neutral
اليوم الجو perfect for a picnic .,Positive
اليوم الجو was really nice .,Positive
اليوم الجو was really nice and sunny in الرياض .,Positive
اليوم الجو حلو ونقدر نروح for a walk in the park .,Positive
"اليوم الجو كان amazing ، روحنا الكافي وشربنا lattes .",Positive
"اليوم الجو كان perfect ، قررنا نروح للبحر بعد الشغل .",Positive
اليوم الجو كان perfect لدرجة ما أحد يبغى يجلس في البيت .,Positive
اليوم الجو كان really nice بالمرة .,Positive
اليوم أنا رايح to the grocery store after work .,Neutral
"اليوم الجو كان so hot ، يعني ما قدرنا نطلع برا .",Negative
اليوم الجو كان very hot والمكيف ما اشتغل .,Negative
اليوم أنا رايح to the grocery store وأحتاج أشتري some vegetables and fruits .,Neutral
اليوم الجو كان very hot وما اتحملنا نطلع .,Negative
اليوم الجو كان very hot وما قدرنا نطلع البحر .,Negative
"اليوم الجو كان جميل ، so we decided to go for a walk .",Positive
اليوم بالليل راح نروح للسينما نشوف the new movie اللي نزلت .,Neutral
"اليوم بعد الدوام , let's go to the mall for some shopping .",Neutral
"اليوم الجو كان حار جداً ، so I decided to stay indoors .",Negative
اليوم بعد الشغل حروح الكوفي for a meeting .,Neutral
اليوم بعد الشغل راح نروح نلعب bowling مع ال friends .,Neutral
"اليوم بعد العمل , I plan to go to the سوق to buy some fresh vegetables .",Neutral
"اليوم الجو كان مرة حلو , بس unfortunately I had to stay indoors .",Negative
"اليوم الجو مرّة hot ، ما قدرت أطلع من البيت .",Negative
اليوم الجو مرة hot برا !,Negative
"اليوم الجو مرة nice ، وقررت أروح للبحر بعد الدوام .",Positive
"اليوم بعد العمل ، I plan to go to the mall مع أصحابي .",Neutral
"اليوم الجو مرة حار ، so I'm staying inside .",Negative
"اليوم الجو مره perfect , نمشي الكورنيش ؟",Positive
"اليوم الجو مره حار , let's go to the beach for some fun .",Positive
"اليوم بعد المدرسة ، we're going to the mall .",Neutral
"اليوم الجو مره حلو , so let's go to the park .",Positive
"اليوم الجو ممتاز ، and I'm feeling really good .",Positive
اليوم الشغل كان too stressful بصراحة .,Negative
اليوم الشغل كان very stressful بصراحة .,Negative
اليوم الكلاس كان online والمحتوى كان جداً ممتاز .,Positive
اليوم الكلاس كان really interesting وحبيت النقاش مع الدكتور .,Positive
اليوم الميتينج كان مره productive والحمدلله الشباب كانوا جداً cooperative .,Positive
اليوم حروح مع أصحابي to the mall .,Neutral
"اليوم أنا feeling really tired ، ما أقدر أروح الدوام .",Negative
اليوم أنا Really excited إننا بنروح السينما بالليل .,Positive
اليوم أنا super busy وما أعتقد إنّي أخلص كل الشغل .,Negative
اليوم راح نسوي presentation عن sustainable development .,Neutral
اليوم أنا جداً excited عشان بروح ال concert مع أصحابي .,Positive
اليوم أنا مرة busy وما أقدر أروح ال mall .,Negative
اليوم أنا مره متحمس because we're going to the beach !,Positive
"اليوم بدري شفت my friend في المول , وما قدرنا نسوي shopping because it was too crowded .",Negative
اليوم رايح المول because I need to buy some groceries .,Neutral
اليوم رايحين to the mall with friends .,Neutral
اليوم رايحين نلعب bowling بعد ما نخلص الشغل .,Neutral
اليوم رح أروح to the mall وأشتري some new clothes .,Neutral
اليوم رح نروح to the mall عشان نشتري أشياء جديدة .,Neutral
اليوم رح نروح للسينما because they are showing a new movie .,Neutral
اليوم رحت to the mall واشتريت a new pair of shoes .,Neutral
اليوم جو الرياض was amazing !,Positive
اليوم حسيت إني so tired وما قدرت أركز .,Negative
اليوم حنفطر في Starbucks لأنه their coffee is the best .,Positive
اليوم خلصت my project قبل الموعد المحدد !,Positive
اليوم دايما أحس إن my productivity level is really high .,Positive
اليوم رحت المول وكأن المكان super crowded .,Negative
اليوم رحنا the new mall وكان مرة حلو .,Positive
اليوم رحنا to the mall وما لقينا parking !,Negative
اليوم رحت السوق and bought some groceries for dinner .,Neutral
اليوم رحت للسوبرماركت and bought some groceries for the week .,Neutral
اليوم رحنا لل mall and had an amazing time !,Positive
اليوم رحنا للمنتزه and we had a great time !,Positive
اليوم روحت للشركة and I was really productive !,Positive
اليوم رحنا للسوق and we bought some new clothes .,Neutral
اليوم شفت فيلم كان really amazing وأعتقد إنك حتستمتع بيه .,Positive
اليوم عندنا meeting الساعة 3 في ال office .,Neutral
اليوم عندي busy schedule وما أقدر أطلع معاكم,Negative
اليوم عندي important meeting في المكتب .,Neutral
اليوم عندي interview مع شركة جديدة بخصوص my career development .,Neutral
اليوم عندي final exam ومره متوتر !,Negative
"اليوم عندي meeting مع المدير ، and I'm a bit nervous .",Negative
اليوم عندي meeting مع المدير والصراحة أنا شوية stressed .,Negative
اليوم عندي meeting الساعة 3 العصر في المكتب .,Neutral
"اليوم عندي meeting مهم في المكتب ، إن شاء الله الأمور تمشي smoothly .",Positive
"اليوم فعلاً كان so exhausting , وما أتخيل بكره أفضل .",Negative
اليوم عندي meeting بعد الظهر وأحتاج أجهز ال presentation قبل ما أروح .,Neutral
اليوم عندي meeting في المكتب بس بعدين بروح الكافيه .,Neutral
اليوم في الشغل كنت really busy وما لحقت أخلص tasks المطلوبة مني .,Negative
اليوم في المكتب كان عندنا meeting وكان حلو و productive .,Positive
اليوم قررت that I need to start eating healthier عشان أشعر بنشاط أكثر .,Positive
اليوم قضيت وقت ممتع مع ال family في ال mall .,Positive
اليوم كان hectic بالدوام وما قدرت أخلص كل الشغل .,Negative
اليوم كان meeting مرة طويل ومعظمه كان boring .,Negative
اليوم كان very exhausting وصعب التركيز بالشغل .,Negative
اليوم كان جداً busy بالشغل وما خلصت أي شيء !,Negative
اليوم كان جداً busy في الدوام والمشاريع ما تخلص !,Negative
"اليوم كان جداً busy في المكتب ، ما قدرت even آخذ break .",Negative
اليوم كان جداً busy وما قدرت آخذ break .,Negative
اليوم كان جداً busy وما كان عندي time أخلص كل ال tasks .,Negative
"اليوم كان زحمة في ال traffic ، وصراحة ما قدرت أوصل ال meeting on time .",Negative
اليوم كان عندي a really busy schedule because كان عندي meetings طول اليوم .,Neutral
اليوم كان عندي a really busy schedule وما قدرت أسوي أي شيء .,Negative
اليوم كان عندي a very productive day in the office .,Positive
اليوم كان عندي interview وكنت مرّة nervous .,Negative
اليوم كان عندي meeting مع ال manager وكان مره productive .,Positive
اليوم كان عندي meeting مع ال team وحللنا كل ال issues الحمدلله .,Positive
اليوم عندي meeting مع manager في المكتب .,Neutral
"اليوم كان عندي meeting مع المدير ، وبصراحة كانت ملاحظاته very beneficial لتطوير المشروع .",Positive
اليوم كان عندي meeting مع المدير وكان جداً مفيد .,Positive
اليوم كان عندي meeting مع زملائي في العمل وخلصناه بسرعة .,Positive
اليوم كان عندي meeting وأتأخرت عشان الزحمة .,Negative
"اليوم كان مرة حلو , I had so much fun with my friends .",Positive
اليوم كان مره busy وما قدرت أخلص ال assignments .,Negative
اليوم كان مره hectic في المكتب !,Negative
اليوم كان مره حلو because the weather was just perfect .,Positive
اليوم كانت عندي meeting مع المدير وهو كان very impressed بالأفكار الجديدة .,Positive
اليوم كانت مرة busy في الشغل .,Negative
اليوم كنت at the mall وشفت a really cool jacket .,Neutral
اليوم كنت busy وما رجعت البيت إلا متأخر .,Negative
اليوم كنت جداً busy وما قدرت أروح للموعد .,Negative
اليوم كنت في الهايبرماركت and I found some really good deals on electronics .,Positive
اليوم كنت مره busy بالشغل وما كان عندي وقت أبدًا للراحة .,Negative
اليوم عندي meeting مع ال team الساعة أربع .,Neutral
اليوم عندي meeting مع ال team حقنا بالشركة .,Neutral
اليوم مرّة busy وما لحقت أسوي anything fun .,Negative
اليوم مره حلو because the weather is just perfect .,Positive
اليوم عندي meeting مع ال team عالساعة ثمانية .,Neutral
إذا انت تسوي your best في الحياة راح تلقى النجاح,Positive
أحتاج أشتري new laptop لأن old one صار بطيء مرة .,Negative
"أكيد , It's really interesting لما نشوف اللغات تمتزج سوا .",Positive
اليوم عندي meeting مع ال team عشان نراجع ال project progress .,Neutral
"أكيد ، أنا مرة busy اليوم وما أقدر أجي .",Negative
اليوم عندي meeting مع الفريق and we need to finalize the مشروع by نهاية الأسبوع .,Neutral
"أكيد ، خليني أحاول : The weather اليوم كان مرة حار وصار لازم نشغل التكييف .",Neutral
"أكيد ، كنت أدرس و suddenly I realized I forgot my notes at home .",Negative
أكيد I am excited إني بروح المهرجان الليلة .,Positive
أكيد الزحمة اليوم كانت crazy بالمول !,Negative
أكيد اليوم weather is amazing في الرياض .,Positive
أكيد اليوم راح أكون جداً busy مع الشغل .,Neutral
أمس I went to the mall وفجأة I saw an old friend ما شفته من زمان .,Neutral
أمس we went to the mall و كان crowded جدا .,Negative
أمس انسدت الطرق بسبب the heavy rain .,Negative
أمس حضرت a really interesting concert in الرياض .,Positive
أمس ختمت my project بنجاح والحمد لله .,Positive
أمس رحت المول وشريت a really nice dress .,Positive
أمس رحت للسوق and I found a really nice coffee shop .,Positive
"أمس روحت المول ، وكان فيه amazing عروض .",Positive
أمس شفت فيلم جديد وكان honestly the best movie I've seen this year .,Positive
أمس شفت فيلم وكان honestly one of the best movies I've ever seen .,Positive
اليوم عندي meeting مع الفريق في المكتب الساعة 3 .,Neutral
أمس ضاع مني الجوال وجاني إحساس it's gonna be a long day .,Negative
أمس في الدوام كان meeting كتير طويل وممل .,Negative
أمس كان الجو very nice في الرياض .,Positive
اليوم عندي meeting مع المدير حقنا حول ال new project اللي بنشتغل عليه .,Neutral
اليوم عندي meeting مع المدير في المكتب بعد الظهر .,Neutral
أمس كان اليوم busy جداً في الدوام .,Negative
أمس كان أحسن day في حياتي !,Positive
أمس كان عندنا meeting بالليل وخلصنا كل الشغل الحمدلله .,Positive
أمس كان عندي a really great time في الكوفي .,Positive
اليوم عندي meeting مع المدير وبعدها بنروح للمطعم السعودي .,Neutral
اليوم عندي meeting مهم مره وكمان after we finish عندي شوية tasks .,Neutral
اليوم عندي meeting وبعدين بروح عند أهلي .,Neutral
أمس كان عندي meeting في المكتب وكل الأشياء كانت تمام .,Positive
أمس كان عندي meeting مع ال team وتحس everything was so productive .,Positive
اليوم عندي اجتماع مهم in the afternoon .,Neutral
أمس كان عندي meeting مع ال team وما خلصنا إلا بعد العشاء .,Neutral
أمس كان عندي meeting مع المدير وعطاني feedback مره مفيد .,Positive
اليوم عندي اجتماع مهم with the project team بعد الظهر .,Neutral
أمس كنا رايحين للمول وشفنا a really cool shop .,Positive
أمس كنا في المول وشفت friend قديم ما شفته من زمان .,Neutral
أمس كنا في المول وعجبني هداك الستايل modern مرة .,Positive
أمس كنا في مول و فجأة صار power outage !,Neutral
أمس كنا نسوي شوبينق في المول وفجأة بدأت heavy rain !,Neutral
أمس كنت at the mall وقابلت صديقي اللّي ما شفته من زمان .,Neutral
أمس كنت busy مرة وما قدرت أخلص ال report اللي مطلوب مني .,Negative
"اليوم عندي كتير شغل , but I’ll try to finish early .",Neutral
اليوم قررت أروح to the mall after work .,Neutral
اليوم قررت أروح لل mall عشان أشتري بعض الأشياء for the upcoming trip .,Neutral
اليوم قررت أني أشتري a new phone لأنه حقي صار قديم .,Neutral
أمس كنت driving around الرياض وما توقعت the traffic يكون بهذا الزحمة .,Negative
اليوم كان الاجتماع في office الجديد .,Neutral
"اليوم كان الجو حار ، so we decided to go to the beach .",Neutral
أمس كنت بالرياض وما لقيت ولا single parking spot .,Negative
"اليوم كان الجو حار جداً , so I decided to stay home and watch Netflix .",Neutral
أمس كنت بذاكر في الجامعة وفجأة teacher سألني سؤال صعب .,Negative
أمس كنت بروح للمول بس my car broke down فجأة .,Negative
أمس كنت تعبان جداً because I worked late .,Negative
أمس كنت جداً tired وما قدرت أكمل شغلي .,Negative
"اليوم كان طويل ، so I decided to relax with a movie .",Neutral
أمس كنت في the mall مع أصحابي وضحكنا كثير .,Positive
أمس كنت في الرياض and it was an amazing experience .,Positive
"أمس كنت في المطعم and I tried their new dish , وكان مرة لذيذ .",Positive
"أمس كنت في المول ، وفجأة شفت my old school friend هناك !",Neutral
اليوم كان عندي meeting في المكتب وبعدها رحنا نتعشى في restaurant جديد .,Neutral
أنا today شفت فيلم مرة حلو at the cinema .,Positive
اليوم كان عندي meeting مرة مهم مع ال team في المكتب .,Neutral
أنا اليوم I feel really tired لأن النوم كان جداً قليل .,Negative
أنا اليوم was really good لأن الجو كان perfect .,Positive
اليوم كان عندي meeting مع المدير وأخذنا قرار new strategy للشركة .,Neutral
أنا اليوم جداً excited لأني حأزور المعرض الجديد .,Positive
أنا اليوم جداً تعبان because I didn't sleep well last night .,Negative
اليوم كان عندي meeting مع المدير وقررنا نبدأ المشروع الجديد الأسبوع الجاي .,Neutral
اليوم كان عندي meeting مهم مع الفريق .,Neutral
"اليوم كان مره hectic في العمل ، وبعدين قررت أروح لكافي وأسترخي .",Negative
أنا اليوم حاس إنه my energy levels شوي منخفضة .,Negative
أنا اليوم حاس إني really tired فقررت أني آخذ nap شوي .,Negative
أنا اليوم حاسس كتير stress من الشغل .,Negative
أنا اليوم رحت to the beach عشان الجو كان جداً جميل .,Positive
اليوم كنت at the mall وشفت a new store للأزياء .,Neutral
أنا اليوم رحت السوق and I found some really good deals على الملابس .,Neutral
أنا اليوم كنت feeling so happy لأني شفت أصحابي in the café .,Positive
"أنا اليوم كنت very busy ، ما قدرت أشوفك .",Negative
"أنا اليوم مره مشغول ، عندي meeting مع المدير later .",Neutral
"أنا اليوم مشغول جداً ، so I'll have to cancel our meeting .",Negative
اليوم كنت thinking about going to the mall بعد الشغل .,Neutral
اليوم كنت افكر in applying for a new job .,Neutral
أنا أحب drinking coffee كل صباح لأنه wake me up .,Positive
"أنا أحب going to the beach ، especially خلال الصيف .",Positive
أنا أحب learning new things every day في حياتي .,Positive
اليوم كنت أبغى أروح للسوق بس كان عندي الكثير of work to finish .,Neutral
اليوم كنت في the supermarket واشتريت some groceries .,Neutral
"اليوم كنت مشغول في العمل , but I managed to finish early .",Neutral
اليوم ماراح أقدر أجي لأن عندي meeting مهم في المكتب .,Neutral
أنا أحب to go to the mall عشان أتسوق with my friends .,Positive
اليوم ناقشت مشروع ال final مع الدكتور .,Neutral
أنا أحب to visit the desert and experience the culture هناك .,Positive
اليوم نحتاج نخلص ال project لأنه ال deadline بكره .,Neutral
انا رايح لصديقي house's عشان عندنا شغل نسويه مع بعض .,Neutral
أنا أحب أروح للمطعم because the food is amazing .,Positive
أنا بحب to visit الحرم المكي during رمضان .,Positive
إنت تعرف وين ال computer حقي ؟,Neutral
أنا بحب أتعلّم new skills كل يوم .,Positive
أنا بحب أسافر للخارج because it opens up the ذهن .,Positive
أنا بسوي this project عشان it's really important for my career .,Neutral
أنا بصراحة أحب weekend trips لأنها تريحني من ضغط الشغل .,Positive
أنا جداً tired الأيام هذه في العمل .,Negative
أنا حابب أروح ال mall بعد الظهر علشان فيه عروض مرة حلوة today .,Positive
إيش رأيك in trying that new restaurant اللي فتح قريب من بيتنا ؟,Neutral
أنا خلاص تعبت من studying كل يوم .,Negative
أنا دايمًا أحب to travel every summer مع أصحابي .,Positive
"أنا دايمًا أحب to try new things , خاصة لما تكون مرتبطه بالثقافة والتاريخ .",Positive
إيش رأيك نروح ال mall بعدين نجيب شاي ؟,Neutral
أنا دايمًا أحب أروح the mall مع أصحابي .,Positive
أنا دايمًا أحب أروح to the park وآخذ لي قهوة .,Positive
أبغى أطّلب a pepperoni pizza for dinner .,Neutral
أحتاج أروح للسوق بعد ال meeting .,Neutral
أنا دايمًا أكون excited لما أروح جدة .,Positive
"أكيد ، I'm going to the mall بعد شوي .",Neutral
أنا دايماً أحب to travel كل سنة with my family .,Positive
"أنا دايماً أحب to try new things , عشان الحياة قصيرة .",Positive
أنا دايماً أحب أروح to the mall بعد الدوام .,Positive
أنا رايح لل mall بكرة عشان فيه sale رهيب .,Positive
أنا رايح للمطعم because I heard their Kabsa is outstanding .,Positive
"أكيد ، I'm ready to start the project بس محتاج منك شوية تفاصيل .",Neutral
أنا رحت to the mall واليوم كان مزدحم جدا .,Negative
أنا صراحة أحب the coffee in that café لأنها مرة delicious و the atmosphere هناك so relaxing .,Positive
أنا كنت at the mall و شفت صديقي القديم اللي ما شفته for years .,Positive
"أكيد ، I will be there at 7 o'clock إن شاء الله .",Neutral
أنا كنت أبحث for my keys وما قدرت ألاقيهم .,Negative
أنا كنت أمس في ال mall وشفت صديقي اللي ما شفته من زمان .,Positive
أنا كنت بالجيم yesterday and it was really crowded .,Negative
أنا كنت في الرياض أمس and it was really exciting .,Positive
أنا كنت في السوق and I found the perfect dress for the party .,Positive
أنا كنت ناوي أروح الڤيليج بس suddenly I had to cancel .,Negative
أنا ما عندي شغل today بس اشغل Netflix وأريح .,Neutral
أنا مرا تعبان because I stayed up all night studying .,Negative
"أنا مرة busy اليوم ، فما أقدر أروح ال mall معاكم .",Negative
أنا مرة happy اليوم لأنه خلصت ال project تبعي .,Positive
"أكيد ، I will call you بعد ما أوصل البيت .",Neutral
"أكيد ، I will help you with that في أقرب وقت ممكن .",Neutral
"أنا مرة hungry ، ما أكلت from الصباح .",Negative
أنا مرة hungry اليوم وما عندي وقت أطبخ .,Negative
أنا مرة hungry بس ما عندي وقت أطبخ شي .,Negative
"أكيد ، I’ll be there by 7 , بس لازم أخلص شغلي الأول .",Neutral
"أكيد ، I’ll meet you at the mall بعد العشا .",Neutral
"أكيد ، I’m going to the mall اليوم عشان أشتري بعض الأشياء الجديدة .",Neutral
أنا مرة hungry لأني ما أكلت شيء today .,Negative
