Data,Sentiment
"أكيد ، let's meet after work ونحكي تفاصيل المشروع .",Neutral
"أكيد ، let's meet at the café الساعة ٧ .",Neutral
"أكيد ، let's meet up عند الكوفي اليوم بعد الظهر .",Neutral
أنا مرة hungry وما أدري إيش آكل .,Neutral
أنا مرة hungry وما أقدر أركز .,Negative
"أكيد ، let’s meet after lunch بس خلينا نتفق على الوقت .",Neutral
"أكيد ، أنا today رايح المول because I need some new clothes .",Neutral
أنا مرة hungry وما عندي أي فكرة وش أبي آكل .,Negative
"أكيد ، أنا رايح المول later today عشان أشتري some new clothes .",Neutral
أنا مرة hungry وما فيه أي مطاعم مفتوحة الآن .,Negative
"أكيد ، أنا رايح المول عشان أشتري some groceries .",Neutral
"أكيد ، أنا رايح للمول بعد الظهر if you wanna join me .",Neutral
"أنا مرة tired اليوم ، ما قدرت أنام كويس .",Negative
"أكيد ، خلينا نروح the new café اللي افتتحوه أمس .",Neutral
"أكيد ، خلينا نروح للمول عشان في there’s a big sale today .",Neutral
أنا مرة tired اليوم وما عندي أي motivation أشتغل .,Negative
أنا مرة tired بس لازم أخلص هالشغل tonight .,Negative
أنا مرة تعبان today because I didn't sleep well الليلة اللي فاتت .,Negative
أنا مره hungry وما في وقت أطبخ dinner .,Negative
أنا مره تعبان today .,Negative
"أكيد ، خليني أخلص هذا task وبعدين نتكلم .",Neutral
أنا مره تعبان today بعد الشغل الطويل .,Negative
أكيد there's a lot we need to discuss before الفعالية تبدأ اليوم .,Neutral
"أنا مره تعبان اليوم , I couldn't sleep at all last night .",Negative
أنا مره تعبان اليوم because I stayed up all night .,Negative
أكيد الأسبوع الجاي we’re going on a road trip .,Neutral
بالله ماني عارف كيف to solve this problem .,Negative
أكيد اليوم احنا going to the mall عشان نشتري بعض الهدايا .,Neutral
بالويكند كان عندي meeting مع الفريق وكل شي كان perfect !,Positive
"بصراحة ، I think the best thing نسويه هو إننا نتعاون more closely to achieve our goals .",Neutral
"أكيد راح أكون there by 6 o'clock , لا تشيل هم .",Neutral
أكيد راح أكون هناك on time بس تأكد إنك تحجز لي تذكرة .,Neutral
"بصراحة ، ال weekend كانت جداً مريحة بالمزرعة .",Positive
"بصراحة ، البروجكت هذا مرة interesting وأحتاج أركز عليه أكثر .",Positive
"أمس , I went to the mall عشان أشتري some new shoes .",Neutral
"أمس ، رحنا to the mall وبعدين we watched a movie .",Neutral
"بصراحة ، الكافي هذا مرة cozy وأحب أدرّس فيه .",Positive
"بصراحة ، المول الجديد في جدة amazing !",Positive
أمس I went to the mall with my friends عشان نتسوق وناخذ لنا بعض الأشياء الجديدة .,Neutral
"بصراحة ، أنا ما أقدر أشتري هذه السيارة لأنها too expensive .",Negative
أمس I went to the market with my friends وتغدينا سوا .,Neutral
"بصراحة ، أنا مرة happy to see you هنا في الرياض .",Positive
أمس we went to the mall وشفنا محمد هناك .,Neutral
"بصراحة ، فيه traffic جامد اليوم وما أظن إننا هنقدر نوصل on time .",Negative
أمس رحت to the mall مع أصحابي .,Neutral
أمس رحت المول واشتريت a new jacket .,Neutral
أمس رحت ل restaurant وجربت the new dish .,Neutral
أمس رحت للسوبرماركت to buy some groceries .,Neutral
"بصراحة ، كان الميتنج اليوم productive جدًا .",Positive
"أمس رحنا للمول عشان نتسوق ، وبعدين جينا البيت وشغلنا Netflix .",Neutral
أمس عندنا meeting بالمكتب عشان نناقش المشروع الجديد .,Neutral
أمس كان عندي interview في الشركة الجديدة .,Neutral
بصراحة المكان كان amazing وكل الناس كانوا مرّة friendly .,Positive
أمس كان عندي meeting with my friends في الكافيه .,Neutral
"بصراحة أنا حبيت الفيلم الجديد ، كان فعلاً amazing !",Positive
أمس كان عندي meeting مع المدير الجديد وناقشنا بعض المشاريع المستقبلية .,Neutral
أمس كنا رايحين المول لأن كان عندهم a huge sale .,Neutral
أمس كنت at the mall و شريت شوية ملابس جديدة .,Neutral
أمس كنت shopping في mall وجبت لبن من Starbucks .,Neutral
أمس كنت أتسوق في the mall وشريت new shoes .,Neutral
أمس كنت أشتغل late في المكتب because of the project deadline .,Negative
تراني جدًا excited عشان الحفل اليوم !,Positive
أمس كنت رايح المول عشان أشتري some new shoes .,Neutral
تراني مره happy إنك جيت اليوم !,Positive
تراني مضغوط اليوم عندي meeting مع المدير .,Negative
أمس كنت رايح للمول وفجأة I bumped into my old school friend .,Neutral
أمس كنت في the mall وجبت من Starbucks .,Neutral
ترى I'm really tired مره اليوم .,Negative
"أمس كنت في ال mall وشفت صديقي ، قلت له let's grab coffee !",Neutral
ترى my new phone مرة سريع ومميز .,Positive
"أمس كنت في ال mall وقابلت صديقي ، he was so surprised to see me .",Neutral
ترى the new movie مره حلو لازم تشوفه !,Positive
أمس كنت في ال park مع أصحابي وجربنا new game .,Neutral
أمس كنت في المول واشتريت a new pair of shoes .,Neutral
ترى the weather اليوم مره hot !,Negative
أمس كنت في المول وشفت my old school friend .,Neutral
ترى the wifi مو شغال اليوم .,Negative
"أمس كنت قاعد أتكلم مع صديقي ، he said he was really excited about the trip .",Neutral
أنا اليوم at the mall اشتريت a new laptop .,Neutral
أنا اليوم going to the mall مع أصحابي to buy some clothes .,Neutral
أنا اليوم going to the mall وناوي أشتري some new clothes .,Neutral
ترى ال weekend الجاي مره زحمة في الرياض .,Negative
"ترى ال weekend هذا مرّة busy ، ما عندي وقت أسوي أي شيء .",Negative
أنا اليوم I have a lot of work بس رح أحاول أخلص بسرعة .,Neutral
أنا اليوم I went to the mall واشتريت some new clothes .,Neutral
"ترى ال wifi مرّة بطيء ، I can't even open YouTube .",Negative
أنا اليوم went to the mall with my friends عشان نشتري some new clothes .,Neutral
ترى الشغل اليوم كان too stressful !,Negative
ترى الفكرة حقته كان really impressive .,Positive
أنا اليوم went to the mall مع صديقي حسن,Neutral
أنا اليوم went to the mall وأشتريت new shoes .,Neutral
ترى الكتاب this one جداً ممتع .,Positive
أنا اليوم اشتغلت كثير projects واكتشفت إنو I need a break .,Negative
ترى المعمول هنا is really tasty .,Positive
"ترى المول اليوم كان crowded بالحيل ، مو لاقية parking أبدًا !",Negative
"ترى الوضع هنا so complicated ، ما أدري وش الحل .",Negative
أنا اليوم بروح mall after work مع أصحابي .,Neutral
أنا اليوم بشتغل remotely من البيت because it's more convenient .,Neutral
أنا اليوم رايحة ال MALL عشان أشتري شوية stuff حق الحفلة .,Neutral
أنا اليوم رحت to the mall وشريت some new clothes .,Neutral
أنا اليوم عندي meeting مع ال team بعد ال lunch .,Neutral
تصدق ما راح أقدر أحضر ال meeting اليوم .,Negative
"أنا اليوم كنت مره تعبان ، so I decided to take a break .",Negative
"أنا اليوم ما عندي أي meetings ، بس لازم أخلص ال reports .",Neutral
تصدق ما قدرت أركّز في الميتينج اليوم because I didn't sleep well last night .,Negative
"أنا اليوم مشغول at work , فممكن نتكلم later ؟",Neutral
أنا أروح المكتب every day by 8 AM .,Neutral
تصدق والله yesterday i was completely exhausted من الدوام .,Negative
"تصدقين أول ما شفتها ، I was so impressed !",Positive
"تصدقين والله ، هالمكان so relaxing !",Positive
تفاجأت لما شفت ال traffic كان جداً زحمة اليوم .,Negative
جاتني فكرة crazy بس حلوة .,Positive
جيت من العمل وأنا so tired .,Negative
حاس إنه my day is going to be busy بس إن شاء الله everything goes well .,Positive
حسيت إن الجو كان too hot عشان نسوي باربكيو اليوم .,Negative
"حياك الله في السعودية , would you like some coffee ?",Neutral
"خلاص ، I'm so tired today , ما أقدر أروح .",Negative
"خلاص ، أنا hungry وما فيني أنتظر ، متى بناكل ؟",Negative
"خلاص أنا ما أقدر anymore , لازم أطلع .",Negative
خلصت my homework وكان really difficult بس الحمد لله .,Neutral
"خلصت الشغل اليوم ، feel so exhausted !",Negative
خلصت المشروع حقي و I feel really proud !,Positive
"خلصت شغلي اليوم ، so I’m gonna relax now .",Positive
خليت اللابتوب في الكار ولما رجعت كان missing !,Negative
خليت شنطتي في السيارة لأن المول كان crowded مرة .,Negative
خليتك تستناني في the parking lot بس ما شفتك .,Neutral
خليتني nervous مرّة لما شفتك فجأة .,Negative
"خلينا نروح المول ، they have great offers اليوم .",Neutral
أنا بروح to the market عشان أشتري بعض groceries .,Neutral
دايمًا أحب أروح to the beach عشان الجو يكون جميل ويخليني أنسى كل همومي .,Positive
دخلت المطعم ولقيت إنه their menu was very diverse and interesting .,Positive
دخلت المطعم ولقيتهم مسوين special discounts على كل الوجبات .,Positive
رايح الملاهي with my friends عشان نستانس هناك .,Positive
رحت للسوق yesterday وكان الجو ممتاز .,Positive
رحت للسوق yesterday وكان جدا crowded .,Negative
روحنا للمول yesterday وكان crowded مرة .,Negative
‏شفت الشوز الجديد اللي اشتريته من المول ؟ It's so comfortable !,Positive
"شفت الفايل اللي أرسلته لي yesterday , it was really helpful .",Positive
"شفت الفيلم الجديد ؟ Wow ، كان مره رهيب !",Positive
صار له crash وحالياً في المستشفى .,Negative
صار لي ساعة أدور my car keys وما لقيتها !,Negative
صار لي ساعة أدور my keys وما لقيتها !,Negative
"صار لي صديق جديد بالجامعة ، و he’s really cool .",Positive
"صراحة ، أنا خايف about tomorrow's meeting .",Negative
"صراحة ، أنا مره excited للمشروع الجديد حقنا .",Positive
أنا بروح لل mall بعد الشغل عشان أشتري بعض ال groceries .,Neutral
"صراحة الموڤي كان ممتاز بكل المقاييس ، بس ال ending شوي predictable .",Positive
صراحة أنا رحت المول yesterday وكان مرررة crowded .,Negative
صراحة كان الويك إند جداً fun !,Positive
صراحة كنت متأخرة today because of the traffic .,Negative
"صراحة ، البروجكت هذا مو شي بسيط ، بس إن شاء الله everything will be fine .",Neutral
"عملت لك check على الملف ، وكل شي تمام .",Positive
"في طريقي للشغل today , كان في traffic زحمة .",Negative
أنا بكره عندي meeting مهم مع ال manager .,Neutral
أنا حاب أروح to the mall عشان أشتري some new clothes .,Neutral
أنا حجزت the tickets for the concert .,Neutral
كان عندي meeting اليوم وكان جدًا productive الحمد لله .,Positive
كان عندي meeting مهم لكن السيارة تعطلت so I had to call a taxi .,Negative
أنا حوالين الساعة 5 PM إن شاء الله راح أكون هناك .,Neutral
كان عندي اجتماع اليوم morning بس ما قدرت أحضره لأنو كنت تعبان .,Negative
أنا رايح mall نبغى نتقهوى وناخذ لنا break .,Neutral
أنا رايح to the mall with my friends عشان نشتري clothes for the party .,Neutral
أنا رايح to the mall بعدين نروح نآكل .,Neutral
أنا رايح to the mall مع أصحابي after work .,Neutral
أنا رايح to the mall مع أصحابي واخذنا lunch هناك .,Neutral
كان عندي اجتماع مهم today بس نسيته completely .,Negative
"كان ودي نروح ال beach ، بس الجو حار مرة اليوم .",Negative
أنا رايح to the market with my friends عشان نشتري some groceries .,Neutral
أنا رايح to the market عشان أشتري some vegetables .,Neutral
أنا رايح to the store to get some groceries قبل ما يصكر .,Neutral
"كان يوم طويل بالشغل ، so I'm really exhausted right now .",Negative
أنا رايح to the store أبي أشتري some groceries قبل ما يقفلون .,Neutral
أنا رايح to the store أشتري بعض groceries اليوم .,Neutral
"كان يوم طويل في ال office ، بس الحمد لله خلصت كل ال tasks .",Positive
أنا رايح to the store عشان أشتري some groceries للبيت .,Neutral
أنا رايح to the supermarket عشان أشتري شوية أغراض .,Neutral
أنا رايح ال supermarket بعدين بنمر ال coffee shop .,Neutral
أنا رايح السوق later today because I need to buy بعض الأشياء .,Neutral
"كانت الحفلة amazing ، الكل كان having a great time !",Positive
أنا رايح السوق today because I need to buy some groceries .,Neutral
أنا رايح المول later عشان أشتري some new shoes .,Neutral
كانت عندي مشكلة with my computer أمس وأنا حاولت أسوي restart لكن ما اشتغل !,Negative
أنا رايح المول today for some shopping .,Neutral
أنا رايح المول tomorrow عشان أشتري some new shoes .,Neutral
أنا رايح المول عشان أشتري new shoes .,Neutral
أنا رايح أجيب some groceries from the store .,Neutral
أنا رايح للسوبرماركت بس still need to finish my report first .,Neutral
كنا نسولف وفجأة سمعنا صوت very loud .,Negative
"كنت أتابع المسلسل ، but then the internet stopped working فجأة .",Negative
أنا رايح للسوق and then I'll meet my friends .,Neutral
كنت أجهز my presentation بس الكمبيوتر صار فيه مشكلة .,Negative
أنا رايح للسوق because I need some groceries .,Neutral
كنت أسوي homework ولقيت هذا app اللي بيساعد كثير .,Positive
"كنت بسوق وسمعت أغنيتك المفضلة على الراديو , it made my day !",Positive
كنت جالس في المقهى when I realized I forgot my keys at home .,Negative
كنت في ال mall أمس وشفت أشياء مرة cool .,Positive
أنا رايح للمول because I need to buy new clothes .,Neutral
أنا رايح للمول today عشان أشتري بعض الأشياء للبيت .,Neutral
كنت في المول and I found a great deal on shoes .,Positive
أنا رايح للمول with my friends بعد الظهر .,Neutral
"أنا رايح للمول بعد الظهر , wanna join me ?",Neutral
كنت في المول و I forgot to buy milk للأسف .,Negative
"لما رجعت البيت ، I found out إنه ما في كهرباء .",Negative
أنا رايح للمول بعدين I'll meet you at the café .,Neutral
أنا رحت to the mall yesterday عشان أشتري some new shoes .,Neutral
"لما كنت في الرياض , I absolutely loved the traditional food هناك .",Positive
أنا رحت to the store because I needed بعض الأشياء for dinner .,Neutral
أنا سويت الرياضة today وبعدين رحت أشرب قهوة .,Neutral
"أنا فاضي اليوم ، so let's go to the mall .",Neutral
أنا قررت أشتري a new laptop today .,Neutral
أنا قررت أشتري a new laptop هذا الأسبوع .,Neutral
ليش ما نروح للموفيز بعد المدرسة ؟ It’s a great idea !,Positive
أنا كنت at the mall أمس and شريت new shoes .,Neutral
أنا كنت at the mall و شفت a new store مفتوح .,Neutral
أنا كنت at the park with my friends بعدين رحنا نأكل something sweet .,Neutral
أنا كنت going to the market علشان أشتري some fresh vegetables .,Neutral
أنا كنت في the mall أمس وأشتريت some new shoes .,Neutral
أنا كنت في ال Mall ولقيت hot deal على electronics .,Neutral
"أنا كنت في السوق ، and then I saw Ali .",Neutral
أنا لازم أدرس للامتحان tomorrow .,Neutral
ليش ما نقعد برا ؟ The weather is really nice today .,Positive
"أنا مرة hungry ، فين نقدر نلقى a good restaurant ?",Neutral
أنا مرة hungry وأبي أروح للمطعم .,Neutral
أنا مرة hungry ودي آكل something delicious .,Neutral
ما أقدر أروح للدوام today بسبب الزحمة .,Negative
"أنا مشغول today , لازم أخلص شغلي قبل ما أطلع .",Neutral
"أنا مشغول اليوم , عندي meeting مع المدير بعد الظهر .",Neutral
"أول ما خلصت شغلي , I decided to go out for dinner .",Neutral
ما أقدر أسوي upload للصورة الآن لأن الشبكة ضعيفة .,Negative
ما أقدر أصدق how fast الوقت is going .,Negative
ما أقدر أصدق إنو the meeting انلغى فجأة .,Negative
ما أقدر أصدق إني نسيت ال password حقي في البيت .,Negative
ما تأخرت بس لأن كنت stuck في ال traffic .,Negative
ما تقدر تروح للدوام today because your car is broken .,Negative
ما راح أروح اليوم because I'm too tired .,Negative
ما رحت الشغل today because كنت تعبان .,Negative
ما عندك فكرة how exciting this project is .,Positive
ما عندي problem أبدًا .,Positive
ما عندي time to finish the project اليوم .,Negative
ما عندي time أخلص المشروع اليوم .,Negative
ما عندي وقت today to finish the report .,Negative
ما قدرت أكمل الشغل because my laptop crashed .,Negative
ما قدرت أنام last night لأنه كان في صداع .,Negative
ما قدرت آروح للمول أمس because I was really tired .,Negative
ما نقدر نطلع اليوم because the weather is too bad .,Negative
مباراة اليوم كانت exciting مررة !,Positive
مر علي اليوم وكنت seriously overwhelmed من الشغل .,Negative
مرات أحس الوقت يركض بسرعة when I'm busy with work .,Neutral
"مرتاح مع ال job الجديد ، جداً !",Positive
"مشتاق لك ، let's catch up soon .",Positive
بالعادة I go to the market on weekends عشان أشتري الأشياء اللي أحتاجها for the upcoming week .,Neutral
بالله انت شوفت the new movie اللي نزل الأسبوع اللي فات ؟,Neutral
مشتاق لك so much يا أخي .,Positive
بالليل نبغى نروح to the new cafe .,Neutral
ممتاز ! اليوم عندنا meeting مع ال team الساعة ثلاث .,Neutral
بالويكند ناوي أزور my grandma في جدة .,Neutral
بسوي to-do list حقي بعد ال meeting .,Neutral
بكرة I'm going to visit my grandparents عشان ما شفتهم من زمان .,Neutral
بكرة عندي meeting مع ال manager وأحتاج أجهز presentation بسرعة .,Neutral
"بكره عندي meeting مع المدير ، بس لازم أرتب الأوراق قبل .",Neutral
"من أول ما شفتها , I knew she was special .",Positive
من جدك you think بتخلص كل الشغل اليوم ؟,Negative
تخيل بكرة we have a long meeting مع المدير .,Neutral
نسيت البيزنس ميتينغ عشان كنت busy طول اليوم .,Negative
ترى meeting اليوم جداً مهم فلازم نكون on time .,Neutral
ترى ال weekend الجاي راح نروح لكافي جديد بالمول .,Neutral
نفسي أروح للبحر بس عندي meeting كمان شوية,Negative
"هادي الفكرة genius ، أنا مره impressed !",Positive
"هادي الفكرة مرة great ، بس لازم نسويها بسرعة .",Positive
هادي الفكرة مو مره كويسة لأنها complicates الأمور .,Negative
هادي الكوفي شوب is my favorite place to study .,Positive
"هادي فكرة مرررة cool ، خليني أفكر فيها شوي .",Positive
ترى البروجكت هذا جداً important ونحتاج نخلصه بسرعة .,Neutral
هذا المطعم is the best في المدينة .,Positive
هذي السيارة مره كويسة بس I think it’s too expensive .,Neutral
ترى حجزت لك تذاكر لل weekend عشان نشوف the new movie .,Neutral
"هوا الجو اليوم amazing ، ما توقعت يكون كذا .",Positive
"وااااو ، الجو اليوم perfect للشوي !",Positive
"والله ، I really enjoyed the concert أمس .",Positive
خلّي شغلك professional عشان الكل يحترمك .,Neutral
"خلاص , we'll meet up tomorrow عند الكوفي .",Neutral
"خلاص , ترى it's not a big deal .",Neutral
"خلاص ، let's go to the mall اليوم .",Neutral
"والله ، the traffic اليوم كان مرة سيء بالحيل !",Negative
"خلاص ، let's go للمطعم الجديد اللي فتح قريب .",Neutral
"والله ، today كان يوم مره busy وما كان في وقت for a break .",Negative
"خلاص ، let’s meet at the café بعد العصر .",Neutral
"خلاص ، we'll meet at the café بعد الظهر .",Neutral
"والله ، ال weekend هذا كان مرة حماس !",Positive
"خلاص ، أنا رايح لل gym بعد الشغل .",Neutral
"خلصت الشغل ، and now I’m heading home .",Neutral
"والله ، الشوبنج في الأسابيع الأخيرة صار كثير expensive .",Negative
خلصت الشغل وقررت أروح to the mall today .,Neutral
"والله ، كان يوم طويل في the office ، ما خلصت الشغل إلا الساعة 8 .",Negative
خلصت شغلي وأنا رايح Starbucks أجيب قهوة .,Neutral
خلصت شغلي وقررت to go out for dinner .,Neutral
خليت ال car في ال garage عشان كانت الدنيا حر .,Neutral
خليكم ready عشان نطلع بعد شوي .,Neutral
خلينا نتواصل over WhatsApp عشان نرتب الامور .,Neutral
خلينا نجتمع بكرة morning عشان نخلص المشروع بسرعة .,Neutral
خلينا نروح لل mall بعدين نرجع للبيت نتعشى pizza .,Neutral
خليني أتأكد إذا أقدر أحجز لك appointment بكرة .,Neutral
خليني أحجز flight للعطلة الجاية .,Neutral
خليني أشيك my email وبعدين نتكلم .,Neutral
خليني أشيك على ال schedule حقي today .,Neutral
"والله ، كنت بدرس حق الامتحان but I got distracted by a YouTube video .",Negative
"والله ، ما عندي أي idea كيف نحل this problem .",Negative
والله I can't believe كيف الجو حر today !,Negative
والله I forgot my keys في البيت !,Negative
"والله I really need a vacation ، الأمور صارت جداً stressful .",Negative
رايح السوق بعدين I’ll meet you at the café .,Neutral
رايح أسوي presentation للشغل اليوم .,Neutral
"والله it's really hot today , مو قادر أتحمل !",Negative
رح أروح للسوبرماركت بعدين I'll meet you at 5 .,Neutral
رح أروح للمول later اليوم .,Neutral
رح نمشي to the store عشان نشتري groceries for the week .,Neutral
والله it's such a hectic day ما صار عندي وقت آخذ break .,Negative
رحت لل mall عشان أشتري a new pair of shoes اللي شفتها last week .,Neutral
روحت السوق today to buy some groceries .,Neutral
شفت ال new movie في السينما الأسبوع اللي فات .,Neutral
صاحبي جاب لي القهوة بس كانت too cold .,Negative
صار لي أسبوع I'm waiting for your call .,Neutral
والله the movie كان مرة awesome !,Positive
والله the traffic اليوم كان رهيب !,Negative
"طيب ، we'll meet at the mall بعدين نشوف a movie .",Neutral
والله the traffic كان horrible اليوم .,Negative
والله the weather today is حار جداً !,Negative
"طيب ، أنا اليوم عندي meeting الساعة ثنتين .",Neutral
والله today I’m feeling so lazy ما أبغى أسوي شي .,Negative
"والله yesterday كان الشغل مره صعب ، بس الحمدلله finished everything on time .",Positive
"طيب ، بجيب ال groceries بعدين نروح للبيت .",Neutral
والله yesterday كان أحلى يوم في حياتي !,Positive
"طيب ، خلينا نروح للمول بعدين نبدأ ال shopping .",Neutral
"والله yesterday كان عندي meeting مع المدير , وكان صعب جداً .",Negative
في الطريق to the supermarket اشتريت some fresh vegetables .,Neutral
في الويكند حنسافر إلى دبي عشان نحضر ال concert .,Neutral
"كانت السيارة ماراح تشتغل لأن البطارية غير مشحونة ، so we had to call the mechanic .",Neutral
كم مرة رحت to the new mall ؟,Neutral
والله yesterday كان عندي project مره صعب .,Negative
كنا بنسوي shopping في the new mall اللي فتح قريب .,Neutral
كنت اليوم في المكتب وطلبت coffee من المقهى القريب .,Neutral
والله yesterday كنت بالسوق شفت new collection رهيب !,Positive
والله yesterday كنت في the mall وكانت الأسعار مرررة عالية .,Negative
كيف حالك today ؟ أنا كنت thinking about our plans for the weekend .,Neutral
لا تنسى تحضر ال presentation بكره عشان ال manager يبغى يشوف progress .,Neutral
لابس traditional thobe اليوم عشان عندنا formal event بالجامعة .,Neutral
والله البروجكت حقنا كان amazing والكل حب الفكرة !,Positive
"لو أنك تجي معي to the store , يمكن نلقى everything we need there .",Neutral
"لو سمحت , could you help me with هذه المشكلة ؟",Neutral
ليش my phone ما يشتغل ؟,Negative
ليش ما نروح mall اليوم بعد الشغل ؟,Neutral
"والله الجو اليوم perfect ، لازم نطلع و نستمتع .",Positive
ليش ما نروح to the beach بعد الدوام ؟,Neutral
والله الكلاس كان مرة interesting اليوم !,Positive
والله الميتنج كان مره productive اليوم .,Positive
والله اليوم كان meeting جداً مفيد .,Positive
ليش ما نروح لل mall بعدين نمر على ال coffee shop ؟,Neutral
والله اليوم كان stressful بشكل ما تتصور !,Negative
والله اليوم كان جداً busy بس الحمد لله .,Neutral
والله اليوم كان عندي meeting في المكتب وكان جداً productive .,Positive
والله اليوم كان عندي meeting مع ال team وزي ما توقعت everything went really well .,Positive
ليش ما نروح للمول بعدين we can grab something to eat ?,Neutral
والله أنا مره تعبان today .,Negative
ما أقدر أجي اليوم because I'm really busy with work .,Negative
والله صار لي headache من كثر ما اشتغلت على هذا ال project,Negative
ما أقدر أروح للنادي today because I have a lot of work .,Negative
ما تقدر تسوي save للملف من غير ما يكون عندك permission .,Neutral
ما راح أقدر أجي اليوم لأنو عندي meeting مهم في الشغل .,Neutral
ما عندي أي plans اليوم .,Neutral
والله كان الزحمة crazy في الراشد مول اليوم .,Negative
والله كانت الويكند so much fun !,Positive
"والله كانت الويكند مررة حلوة , we had so much fun !",Positive
ما عندي وقت today عشان عندي meeting مهم .,Neutral
متى راح تجي because I need to talk to you وكمان تجيب معاك الكتاب ؟,Neutral
متى راح نقدر نشوف the new movie ؟,Neutral
متى راح نوصل لل destination ؟,Neutral
متى رايح come back البيت يا أخوي ؟,Neutral
"مره تعبت اليوم في الشغل ، so I'm planning to just relax at home tonight .",Neutral
والله كنت جالس في البيت بس I decided to go out and have some fun .,Neutral
ممكن تسوي لي download لهذا الملف ؟,Neutral
مين يبي يروح to the mall اليوم ؟,Neutral
نروح للمول بعدين we can grab some coffee ؟,Neutral
والله ما أقدر أروح للدوام today because I'm feeling sick .,Negative
هل أنتي free اليوم ؟ نبغى نطلع ناكل برا .,Neutral
هي وين ؟ ما شفتها since last week .,Neutral
هيا نروح للمول because I want to buy some new clothes .,Neutral
وش رايكم نروح mall بعد الدوام ؟,Neutral
والله هالمكان جداً amazing خصوصاً في الليل !,Positive
"والله ، أنا كنت thinking about going to the mall later .",Neutral
والله اليوم كنت أدرس لل final exam حقي في Starbucks .,Neutral
والله هذا ال weekend عندنا family gathering in Riyadh .,Neutral
ودي أروح to the new restaurant اللي فتح قريب من بيتنا .,Neutral
وش رأيك نسوي dinner بعدين نروح للسينما ؟,Neutral
وين بتروحي بعد ال meeting اليوم ؟,Neutral
وين حطيت ال USB حقي ؟ ما لقيته .,Neutral
وين رايح اليوم ؟ I thought we were supposed to meet .,Neutral
"والله يا أحمد ، your report كان ممتاز !",Positive
وين رايح بكرة ؟ I’m thinking of driving to the beach .,Neutral
وينك ما جيت ال weekend ؟,Neutral
والله يا شباب I'm not sure إذا بنقدر نخلص المشروع اليوم .,Negative
"يا جماعة ، let's meet up at the café بعد الشغل .",Neutral
والله ياخي yesterday كنت تعبان مره .,Negative
يلا نروح المول عشان I need to buy some groceries .,Neutral
يلا نروح للمول before it gets too crowded .,Neutral
"والله يافلان ، the meeting كان جداً productive بس لازم نشوف ال follow-up actions .",Positive
"واو ، هذي الفكرة are really interesting !",Positive
يلا نروح للمول ونشوف the new movie .,Neutral
وحشني ال vibes حق البحر .,Neutral
"ودي أسافر في الصيف , but I don't have enough time .",Negative
وصلت المدرسة late لأنه زحمة في الطريق .,Negative
وين الموبايل حقي ؟ I can't find it anywhere !,Negative
يعني seriously ما اقدر اتحمل هذا الضغط anymore .,Negative
"يلا نروح المول ، I heard they have great sales today !",Neutral
يلا نروح للمول عشان في عندهم great offers !,Positive
